gray,1,1,5
graze,1,"",""
great,26,19,962
greater,3,"",77
greatnesse,1,1,""
greefe,3,10,""
greefes,4,2,""
greeke,2,"",""
greeting,1,1,3
greets,1,"",""
greeu,1,"",""
greeue,1,2,""
greeuous,1,"",""
greeuously,1,"",""
grey,1,"",1
griefe,2,2,""
griefes,1,1,""
groane,1,"",""
groaning,2,1,9
grone,2,1,""
ground,4,8,192
grow,2,7,38
growes,1,4,""
growing,2,"",""
growne,4,4,""
grudge,1,"",3
grug,1,"",""
guard,1,3,51
guesse,1,"",""
guide,1,"",23
guiltinesse,1,"",""
guilty,1,5,26
gustie,1,"",""
ha,8,27,2
hacke,1,"",""
hackt,1,"",""
haile,3,1,""
haire,2,2,""
haires,1,"",""
halfe,4,5,""
hand,29,19,1466
hands,15,9,462
handy,1,"",""
hang,1,4,19
hangs,1,"",""
happy,3,3,28
hard,8,3,45
harke,2,"",""
harlot,1,1,42
harme,3,"",""
hart,6,1,9
haste,3,2,55
hastie,1,1,""
hatch,1,1,2
hate,1,1,87
hated,1,"",60
hatefull,1,"",""
hates,1,"",""
hats,1,"",1
haue,148,178,""
hauing,2,2,""
hauocke,1,1,""
hazard,1,1,""
hazards,1,"",""
head,5,26,364
headed,1,"",""
heads,4,1,110
health,4,5,17
healthfull,1,1,""
heap,1,"",38
heape,1,"",""
heard,9,14,641
heare,38,31,""
heares,1,2,""
hearing,1,4,39
hearke,6,1,""
hearse,1,"",""
heart,23,30,833
hearts,12,3,113
heauen,5,44,""
heauens,5,10,""
heauie,1,2,""
heauy,3,4,""
hedge,1,1,9
hee,21,21,""
heed,1,1,80
heede,1,"",""
heeles,2,4,""
heere,59,50,""
heereafter,2,1,""
height,1,"",62
heires,1,"",""
held,4,2,52
hell,2,10,54
helpe,2,12,""
henceforth,1,"",33
heraulds,1,"",""
here,5,10,162
hew,1,2,12
heyres,1,"",""
hibla,1,"",""
hidden,1,"",17
hide,6,4,82
hideous,1,1,""
hides,1,"",""
hie,2,"",""
high,7,3,416
higher,2,1,21
hill,3,3,77
hilles,1,"",""
hilts,2,1,""
himselfe,14,20,""
hinder,1,"",16
hindes,1,"",""
hisse,1,"",""
history,1,1,""
ho,10,6,4
hoe,8,"",""
hold,13,25,185
holds,3,5,21
hole,1,1,13
holes,1,"",11
holiday,1,"",""
hollow,1,1,10
holy,2,"",611
holyday,2,"",2
home,12,6,51
honest,5,11,7
honesty,3,1,1
honor,11,7,1
honorable,2,"",""
honors,4,1,""
honour,6,7,145
honourable,14,3,30
honourably,1,"",""
honours,1,"",1
hony,2,"",""
hope,3,7,130
hopes,1,1,""
hoping,1,"",2
horrid,1,2,""
horse,3,4,43
horsemen,1,"",59
horses,1,2,111
horsses,1,"",""
hot,3,6,31
hounds,2,"",""
houre,7,5,""
houres,1,2,""
house,15,4,2024
houses,2,2,136
howre,1,"",""
howted,1,"",""
howting,1,"",""
huge,3,1,1
hugge,1,"",""
humble,2,1,25
humor,4,"",""
humour,4,1,""
humours,1,"",""
hundred,3,2,590
hung,2,1,""
hungry,1,"",30
hunters,1,"",1
hurle,1,"",""
hurtled,1,"",""
husbanded,1,"",""
husbands,1,3,19
hye,1,"",""
iades,1,"",""
ides,6,"",""
idle,3,4,11
iealous,2,"",""
iigging,1,"",""
ile,13,58,""
ill,7,6,15
illuminate,1,"",""
images,3,"",71
imitations,1,"",""
imminent,1,1,""
immortall,3,1,""
impart,1,4,2
impatience,2,"",""
impatient,1,1,""
impatiently,1,"",""
impossible,2,"",9
improue,1,"",""
incenses,1,"",""
incertaine,1,"",""
inclos,1,"",""
incompast,1,"",""
incorporate,2,"",""
indeede,2,3,""
indifferent,1,3,""
indifferently,1,1,""
indirection,1,"",""
indure,2,"",""
infants,2,1,3
infirmitie,1,"",""
infirmities,1,"",12
inflame,1,"",1
inforced,1,"",""
infranchisement,1,"",""
infus,1,"",""
ingag,1,1,""
ingrafted,1,"",""
ingratitude,2,"",""
inkindled,1,"",""
inroll,1,"",""
insisted,1,"",""
instances,1,1,""
instantly,1,1,2
instigations,1,"",""
instrument,5,2,8
instruments,2,"",51
insupportable,1,"",""
insuppressiue,1,"",""
insurrection,1,"",5
intend,1,1,4
intended,2,"",1
interim,1,1,""
intermit,1,"",""
interpose,1,"",""
interpreted,1,"",11
intrailes,1,"",""
intreat,2,2,15
inuenomed,1,"",""
ioy,3,8,""
ioyn,2,"",""
ioynes,1,"",""
iron,1,"",101
issue,2,2,40
italy,2,"",4
itching,2,"",1
iudge,3,3,""
iudgement,2,10,""
iulius,4,1,""
iust,2,3,""
iustice,2,1,""
ivlivs,1,"",""
julius,1,"",2
keepe,10,17,""
keepes,1,6,""
kerchiefe,1,"",""
kil,1,1,""
kill,9,8,125
killing,1,"",5
kinde,4,11,""
kindle,1,"",19
kindnesse,1,"",""
king,4,172,2543
kingdome,1,5,""
kingly,1,1,1
kisse,3,"",""
kissing,1,2,""
kites,1,1,""
knaue,4,5,""
knee,2,1,6
kneele,3,"",""
knees,2,2,30
knew,3,5,169
knock,1,"",4
knocke,2,1,""
knockes,2,"",""
knocks,1,"",""
knot,1,"",""
knottie,1,"",""
know,70,71,763
knowes,3,3,""
knowne,4,7,""
labio,1,"",""
labour,1,2,89
labouring,1,"",4
lacke,1,5,""
lacks,1,1,""
ladder,2,"",1
lady,3,10,4
lambe,1,"",""
lamented,1,"",11
laments,1,"",""
land,1,5,1718
lane,1,"",""
large,1,"",21
last,8,13,85
late,3,10,3
latest,1,"",""
laugh,2,6,18
laught,1,"",""
laughter,3,"",7
lawfull,1,"",""
lay,4,8,241
layest,1,"",2
leade,7,1,""
leaden,2,"",""
leades,1,"",""
leads,2,1,""
leafe,1,"",""
leagues,1,"",""
leane,2,1,""
leape,2,"",""
learn,1,"",32
