blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10275,134383127,531,FARMINGTON AV,"MONTE ALBAN, LLC",FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 50,LIQUOR,1011002,839891,"(41.766146448996, -72.709671585274)"
10617,135393236,99,SISSON AV,WOOD-N-TAP,FOOD - CLASS 4,RESTAURANT,QFO = KEENAN L. MONTGOMERY,LIQUOR,1011806,837802,"(41.760412586389, -72.706728315503)"
10234,268355025,100,CONSTITUTION PLAZA,DUNKIN DONUTS,FOOD - CLASS 3,DONUT SHOP,SEATING CAPACITY 10,,1021638,840577,"(41.768008813963, -72.670682471208)"
15859,176194030,1303,ALBANY AV,MCDONALD'S,FOOD - CLASS 3,,,,1014072,845752,"(41.78222613314, -72.69840551188)"
10092,245334062,275,ASYLUM ST,HIGH SCHOOL INC,FOOD - CLASS 2,SCHOOL,SEATING CAPACITY 80,,1019577,840333,"(41.767344156031, -72.678238133977)"
13108,179319046,274,FARMINGTON AVE,KISHA MARKET,FOOD - CLASS 2,GROCERY,,,1014252,840534,"(41.76790624029, -72.69775711523)"
14691,245338094,1,CIVIC CENTER PLAZA,ATRIUM,FOOD - CLASS 3,CONCESSION,,,1020084,840394,"(41.767510385961, -72.676379474519)"
10830,133313114,498,FARMINGTON AV,"CHINA HOUSE, LLC",FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY = 30,,1011404,840134,"(41.766812784025, -72.708197602815)"
10045,245333075,100,ALLYN ST,ALADDIN II HALAL,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 33,,1019465,840698,"(41.76834607018, -72.678647577755)"
16661,249554003,80,SEYMOUR ST,HARTFORD HOSPITAL AUXILLARY STORE,FOOD - CLASS 1,,,,1019140,835512,"(41.754114974558, -72.679854354415)"
11007,245344114,250,TRUMBULL ST,DUNKIN DONUTS,FOOD - CLASS 3,DONUT SHOP,SEATING CAPACITY 6,,1020385,840530,"(41.767882898282, -72.675275688942)"
11323,269077029,200,COLUMBUS BLVD,HARTFORD MARRIOTT/ STARBUCKS,FOOD - CLASS 3,,QFO : JAMES STEVENS,,1021966,839077,"(41.763891569808, -72.669485259044)"
14956,170024160,645,BLUE HILLS AV,QUICK STOP C  STORE,FOOD - CLASS 1,,,,1014820,853919,"(41.804637216693, -72.695644161967)"
11466,134383127,533,FARMINGTON AV,ABYSSINIAN AND VENICE PIZZA,FOOD - CLASS 4,FOOD SERVICE,,,1011002,839891,"(41.766146448996, -72.709671585274)"
14905,245338094,1,CIVIC CENTER PLAZA,DUNKIN DONUTS,FOOD - CLASS 2,QFO = JASON NOVAK,,,1020084,840394,"(41.767510385961, -72.676379474519)"
16419,210760198,891,MAPLE AV,FUNG CHINESE RESTAURANT,FOOD - CLASS 4,,,,1017194,828645,"(41.735274055959, -72.687004539301)"
10128,125001001,200,BLOOMFIELD AV,HAWK'S NEST,FOOD - CLASS 4,,,,1009980,850173,"(41.794364237674, -72.71340181704)"
10724,277810001,867,WETHERSFIELD AV,FRIENDLY FOOD MART,FOOD - CLASS 4,,,,1021788,827559,"(41.732283332494, -72.670176704005)"
10155,225433009,594,BROAD ST,MARIA GROCERY,FOOD - CLASS 2,GROCERY,,,1017265,838128,"(41.761297984772, -72.686718966004)"
16356,230660177,738,MAPLE AV,PIZZA CHAMPS LLC,FOOD - CLASS 4,,QFO = MIGUEL ORTIZ,,1017962,830288,"(41.739781360616, -72.684186154308)"
10254,202416001,151,FARMINGTON AV,AETNA - FLIK INTERNATIONAL,FOOD - CLASS 4,CAFETERIA,SEATING CAPACITY 200,,1015758,840167,"(41.766896461208, -72.69223754309)"
17687,136479036,1901,PARK ST,KING AND I THAI RESTAURANT,FOOD - CLASS 4,,DES ALT = VIENGAONG SIBORIBOUN,,1010800,836252,"(41.756160275498, -72.710418136697)"
10328,254801195,577,FRANKLIN AV,FICARA'S RESTAURANT,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 50,LIQUOR: WINE & BEER ONLY,1020523,827719,"(41.732725533767, -72.674810691103)"
10158,203429235,593,BROAD ST,DINERO GROCERY & NY PIZZA,FOOD - CLASS 4,GROCERY,,,1017167,838143,"(41.761339345253, -72.687078122422)"
10518,226537059,507,PARK ST,PITTA GOURMET PIZZA,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 62,LIQUOR,1017673,836880,"(41.75787229521, -72.68522696112)"
