word,count
drie,1
busie,1
chappell,2
determination,1
cressant,1
freeze,1
choppine,1
tongues,2
ther,1
sixeteene,1
amities,1
they,90
intreated,1
throughly,1
elsenour,1
vttered,1
thee,58
nods,1
qu,62
old,17
spectators,1
diseases,1
them,67
allowance,2
then,108
ancient,1
seat,1
seas,2
re,23
plye,1
ro,1
gratis,1
crownes,1
checking,1
crowner,1
conference,1
seed,1
praier,1
limbes,2
storme,1
cabin,1
thankes,9
seek,1
seen,2
honie,1
seem,2
accesse,1
brauery,1
opprest,1
implorators,1
se,1
blew,1
compelled,1
houres,2
soule,33
lecture,1
hees,1
so,189
insolence,1
caution,1
pierce,1
suspiration,1
apart,2
maintains,1
st,29
waues,1
necessary,2
one,46
started,1
heed,1
closes,4
single,2
th,62
ont,1
scourge,2
bloodily,1
sect,1
acquaint,1
to,685
iustice,1
wormwood,2
apale,1
country,2
superuize,1
excellence,2
willing,2
diadem,2
osricke,5
yeelding,1
ue,2
embracing,1
trophies,1
hilts,1
smiling,3
ope,1
purchases,1
suppresse,2
reuengefull,1
belike,2
this,276
magicke,1
thin,1
obscure,1
valiant,3
quake,1
know,71
vp,36
natiue,4
tweakes,1
region,2
vs,64
praises,1
changed,1
drop,1
ingenious,1
resolutes,1
strawes,1
cold,6
learning,1
pure,2
we,128
life,33
purg,1
willingly,2
exits,1
ioyntly,1
twelue,5
shapes,2
lier,1
lies,4
dane,6
impious,1
gau,1
ord,1
vnreclaim,1
slight,1
ore,7
cases,1
wide,4
teach,5
assis,1
reading,2
damn,5
scuffling,1
storie,1
gumme,1
circumscrib,1
proportions,1
lids,1
rosin,43
vnto,5
held,2
courtiers,2
loosing,1
buzzers,1
none,13
assaid,1
satyre,1
ye,11
contriue,2
highnesse,1
hell,10
beyond,2
osr,18
scann,1
practise,1
forthwith,1
venom,1
liued,3
scant,1
hazard,1
presence,3
passeth,1
swearing,2
method,2
shadowes,2
ominous,1
wife,8
makers,1
contract,1
come,104
pluckes,2
churches,1
push,1
props,1
streame,1
strooke,3
inheritor,1
actus,2
seiz,1
perseuer,1
tooke,5
exact,1
praying,1
force,4
messe,1
crooke,1
scape,2
north,2
vnshaped,1
slander,1
our,130
out,55
weazell,2
staires,1
gen,1
ghost,21
byrlady,2
hems,1
vnsanctified,1
martiall,1
drooping,1
get,9
course,5
malefactions,1
power,8
sollemne,1
sensible,2
dare,3
danish,6
precious,2
liues,3
wilde,2
liuer,1
stomacke,1
coffin,1
fellowes,5
thou,107
transformation,1
puts,2
beautie,4
forcing,1
yond,1
lugge,1
occurrents,1
yong,8
ended,1
chorus,1
roses,1
nony,3
lowdly,1
sound,7
own,2
murdering,1
sunne,3
drum,1
translate,2
lightest,1
presentment,1
deluer,1
beares,3
blow,2
vnmastred,1
proue,3
imediate,1
proud,1
hillo,1
like,80
creatures,3
proposer,1
heyre,1
affaire,3
branches,1
sent,14
propertie,1
gho,9
fretted,1
core,1
ending,1
hent,1
oare,1
purposes,2
ground,8
beards,1
send,4
here,10
note,6
blunted,1
aint,2
purpose,12
line,1
link,1
scale,2
trappings,1
hadst,1
inuites,1
gis,1
robin,1
tempest,1
purport,1
hearts,3
station,2
abstinence,1
challenger,1
myraculous,1
shrill,1
nose,2
sodaine,5
cost,2
spundge,3
will,149
foile,1
terme,2
follow,21
intent,2
wilt,8
oath,2
assay,3
deserued,1
dignity,2
roasted,1
wild,2
intend,1
dismall,2
liuing,2
functions,1
colaterall,1
spacious,1
resemble,1
your,253
without,13
youth,14
kettle,2
these,44
begins,2
afflict,1
croaking,1
virgin,1
prison,5
sister,8
seru,2
